,date,value
858,2022-07-30 20:03:17.485714,4590.0
859,2022-07-30 20:03:22.854870,4567.0
860,2022-07-30 20:03:26.001321,4636.0
861,2022-07-30 20:03:28.129488,4678.0
862,2022-07-30 20:03:30.283988,4611.0
863,2022-07-30 20:03:32.543518,4734.0
864,2022-07-30 20:03:37.396976,5001.0
865,2022-07-30 20:03:50.002135,4815.0
866,2022-07-30 20:03:52.337687,4882.0
867,2022-07-30 20:03:55.801093,4587.0
868,2022-07-30 20:04:05.942573,4951.0
869,2022-07-30 20:04:13.087848,4572.0
870,2022-07-30 20:04:16.096235,4905.0
871,2022-07-30 20:04:21.573294,4624.0
872,2022-07-30 20:04:24.629436,4820.0
873,2022-07-30 20:04:38.189937,4905.0
874,2022-07-30 20:04:40.356682,4964.0
875,2022-07-30 20:05:00.575079,4924.0
876,2022-07-30 20:05:06.723354,4770.0
877,2022-07-30 20:05:11.523331,4538.0
878,2022-07-30 20:05:13.749252,4725.0
879,2022-07-30 20:05:15.892166,4891.0
880,2022-07-30 20:05:33.540569,4635.0
881,2022-07-30 20:05:44.076243,4580.0
882,2022-07-30 20:05:47.077835,4775.0
883,2022-07-30 20:05:50.284985,4438.0
884,2022-07-30 20:05:53.348825,4746.0
885,2022-07-30 20:05:58.586556,4798.0
886,2022-07-30 20:06:04.571413,5060.0
887,2022-07-30 20:06:14.177191,4682.0
888,2022-07-30 20:06:19.480527,5086.0
889,2022-07-30 20:06:21.673177,4686.0
890,2022-07-30 20:06:26.867972,4675.0
891,2022-07-30 20:06:30.104452,5012.0
892,2022-07-30 20:06:44.288508,4657.0
893,2022-07-30 20:06:46.499867,4489.0
894,2022-07-30 20:06:57.153015,4296.0
895,2022-07-30 20:07:11.953486,4901.0
896,2022-07-30 20:07:19.626330,4737.0
897,2022-07-30 20:07:26.213614,4686.0
898,2022-07-30 20:07:30.716686,4595.0
899,2022-07-30 20:07:37.174752,4880.0
900,2022-07-30 20:07:42.973703,4311.0
901,2022-07-30 20:07:49.735245,4568.0
902,2022-07-30 20:07:59.380864,4741.0
903,2022-07-30 20:08:10.638708,4555.0
904,2022-07-30 20:08:16.285837,4821.0
905,2022-07-30 20:08:18.384805,4566.0
906,2022-07-30 20:08:30.468567,4509.0
907,2022-07-30 20:08:32.574461,4437.0
908,2022-07-30 20:08:34.753045,4536.0
909,2022-07-30 20:08:44.541369,4886.0
910,2022-07-30 20:08:47.745968,4582.0
911,2022-07-30 20:08:55.458304,4286.0
912,2022-07-30 20:08:59.876529,4737.0
913,2022-07-30 20:09:04.678425,4297.0
914,2022-07-30 20:09:11.017216,4411.0
